calificacion,jornada,genero,estado.civil,preferencia.politica
3,vespertina,masculino,soltero,derecha
1,vespertina,masculino,otro,derecha
3,matutina,femenino,otro,izquierda
1,vespertina,masculino,soltero,izquierda
2,vespertina,masculino,otro,izquierda
1,vespertina,femenino,otro,derecha
1,vespertina,femenino,otro,derecha
1,vespertina,femenino,soltero,derecha
3,matutina,femenino,otro,izquierda
1,vespertina,masculino,soltero,izquierda
3,matutina,masculino,otro,derecha
2,vespertina,femenino,otro,izquierda
3,matutina,femenino,otro,izquierda
3,matutina,masculino,soltero,izquierda
1,vespertina,femenino,soltero,derecha
