calificacion,jornada,genero,estado.civil,preferencia.politica
2,matutina,masculino,soltero,derecha
1,matutina,masculino,otro,derecha
3,vespertina,masculino,soltero,izquierda
1,matutina,masculino,otro,izquierda
1,vespertina,femenino,otro,izquierda
3,matutina,masculino,soltero,izquierda
2,matutina,masculino,otro,derecha
1,vespertina,masculino,soltero,izquierda
3,matutina,masculino,soltero,derecha
2,matutina,femenino,otro,derecha
2,vespertina,masculino,otro,izquierda
3,matutina,masculino,otro,derecha
1,vespertina,femenino,otro,derecha
2,vespertina,femenino,otro,derecha
1,vespertina,masculino,soltero,izquierda
