calificacion,jornada,genero,estado.civil,preferencia.politica
3,vespertina,masculino,soltero,derecha
1,vespertina,masculino,otro,derecha
3,matutina,masculino,soltero,izquierda
1,vespertina,femenino,otro,izquierda
3,vespertina,femenino,otro,derecha
3,matutina,femenino,otro,derecha
3,vespertina,femenino,otro,derecha
1,vespertina,masculino,otro,derecha
1,vespertina,femenino,soltero,izquierda
3,vespertina,masculino,soltero,izquierda
1,vespertina,masculino,otro,derecha
1,vespertina,masculino,soltero,derecha
1,vespertina,femenino,soltero,izquierda
1,vespertina,masculino,soltero,izquierda
3,matutina,masculino,soltero,derecha
