calificacion,jornada,genero,estado.civil,preferencia.politica
3,matutina,femenino,soltero,derecha
3,vespertina,masculino,otro,derecha
3,matutina,masculino,soltero,izquierda
2,matutina,femenino,otro,derecha
1,matutina,masculino,otro,derecha
1,matutina,masculino,otro,derecha
1,matutina,femenino,otro,derecha
1,vespertina,femenino,otro,izquierda
2,matutina,masculino,otro,derecha
3,matutina,masculino,soltero,izquierda
2,matutina,masculino,otro,derecha
1,matutina,femenino,otro,derecha
2,matutina,masculino,soltero,izquierda
1,vespertina,femenino,otro,izquierda
3,matutina,masculino,soltero,derecha
