calificacion,jornada,genero,estado.civil,preferencia.politica
1,matutina,femenino,otro,derecha
3,vespertina,femenino,soltero,derecha
2,matutina,masculino,soltero,izquierda
2,vespertina,femenino,otro,izquierda
2,matutina,masculino,soltero,izquierda
2,matutina,masculino,otro,derecha
2,vespertina,femenino,soltero,derecha
1,vespertina,femenino,soltero,derecha
3,matutina,masculino,otro,izquierda
3,vespertina,femenino,soltero,derecha
2,vespertina,femenino,otro,derecha
3,matutina,masculino,otro,izquierda
2,vespertina,femenino,soltero,derecha
3,matutina,masculino,soltero,derecha
3,matutina,femenino,otro,izquierda
