calificacion,jornada,genero,estado.civil,preferencia.politica
1,vespertina,masculino,soltero,derecha
3,vespertina,masculino,soltero,izquierda
2,matutina,femenino,soltero,derecha
3,vespertina,femenino,otro,derecha
3,vespertina,femenino,soltero,izquierda
3,vespertina,femenino,soltero,izquierda
3,vespertina,femenino,soltero,derecha
3,matutina,masculino,soltero,derecha
3,matutina,femenino,soltero,derecha
1,vespertina,femenino,soltero,izquierda
2,vespertina,femenino,soltero,derecha
2,matutina,masculino,otro,derecha
1,vespertina,masculino,otro,izquierda
3,vespertina,femenino,otro,derecha
1,vespertina,masculino,otro,izquierda
