calificacion,jornada,genero,estado.civil,preferencia.politica
1,vespertina,femenino,otro,izquierda
1,vespertina,masculino,soltero,izquierda
3,matutina,masculino,soltero,derecha
1,matutina,masculino,soltero,derecha
1,vespertina,masculino,soltero,izquierda
1,matutina,masculino,soltero,derecha
3,matutina,femenino,otro,izquierda
1,matutina,femenino,soltero,derecha
2,vespertina,masculino,soltero,derecha
3,matutina,femenino,otro,derecha
3,vespertina,masculino,otro,izquierda
2,vespertina,femenino,otro,derecha
1,matutina,masculino,otro,izquierda
3,matutina,femenino,otro,izquierda
1,vespertina,femenino,otro,derecha
