calificacion,jornada,genero,estado.civil,preferencia.politica
3,vespertina,masculino,soltero,izquierda
1,vespertina,femenino,otro,izquierda
2,matutina,masculino,otro,derecha
3,vespertina,masculino,soltero,derecha
1,matutina,masculino,soltero,derecha
1,matutina,masculino,otro,izquierda
1,matutina,femenino,soltero,derecha
3,matutina,masculino,otro,derecha
3,matutina,masculino,otro,derecha
1,matutina,femenino,otro,derecha
2,vespertina,femenino,otro,derecha
2,matutina,femenino,soltero,izquierda
3,matutina,femenino,otro,izquierda
1,matutina,femenino,soltero,izquierda
1,matutina,femenino,soltero,izquierda
