calificacion,jornada,genero,estado.civil,preferencia.politica
3,vespertina,femenino,soltero,derecha
3,matutina,masculino,soltero,izquierda
1,vespertina,femenino,soltero,izquierda
1,vespertina,masculino,otro,derecha
1,matutina,masculino,soltero,izquierda
1,vespertina,femenino,soltero,izquierda
2,vespertina,masculino,otro,derecha
3,matutina,masculino,soltero,derecha
1,vespertina,masculino,soltero,izquierda
1,matutina,femenino,otro,izquierda
3,matutina,masculino,soltero,izquierda
2,matutina,masculino,otro,izquierda
1,vespertina,masculino,soltero,izquierda
3,vespertina,femenino,otro,derecha
1,vespertina,femenino,soltero,derecha
