calificacion,jornada,genero,estado.civil,preferencia.politica
1,vespertina,femenino,otro,izquierda
1,vespertina,masculino,soltero,derecha
3,matutina,masculino,otro,izquierda
2,matutina,masculino,otro,derecha
2,vespertina,femenino,otro,derecha
1,matutina,femenino,otro,izquierda
1,matutina,femenino,otro,izquierda
3,matutina,masculino,otro,izquierda
1,vespertina,femenino,soltero,izquierda
2,matutina,masculino,soltero,derecha
1,matutina,masculino,otro,izquierda
3,matutina,femenino,otro,izquierda
1,vespertina,femenino,otro,izquierda
3,vespertina,femenino,otro,derecha
2,vespertina,femenino,soltero,derecha
