calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,femenino,otro,izquierda
3,matutina,masculino,soltero,derecha
2,matutina,femenino,otro,derecha
1,vespertina,masculino,soltero,izquierda
1,vespertina,masculino,soltero,izquierda
3,vespertina,masculino,soltero,izquierda
3,matutina,femenino,otro,izquierda
3,vespertina,masculino,otro,izquierda
1,vespertina,masculino,otro,izquierda
1,matutina,masculino,otro,derecha
1,vespertina,masculino,soltero,derecha
3,vespertina,masculino,otro,izquierda
3,matutina,masculino,soltero,derecha
2,matutina,masculino,soltero,izquierda
1,matutina,femenino,otro,derecha
