calificacion,jornada,genero,estado.civil,preferencia.politica
3,vespertina,femenino,otro,derecha
2,vespertina,masculino,soltero,izquierda
3,vespertina,masculino,otro,derecha
1,vespertina,femenino,otro,derecha
2,matutina,masculino,soltero,derecha
2,vespertina,masculino,soltero,izquierda
1,matutina,masculino,soltero,izquierda
1,vespertina,masculino,soltero,derecha
1,matutina,masculino,otro,derecha
1,vespertina,femenino,soltero,izquierda
3,vespertina,femenino,otro,izquierda
1,vespertina,femenino,soltero,izquierda
3,matutina,femenino,soltero,derecha
1,vespertina,masculino,soltero,izquierda
2,vespertina,femenino,soltero,izquierda
