calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,femenino,otro,izquierda
2,matutina,masculino,otro,derecha
2,matutina,femenino,otro,izquierda
1,vespertina,masculino,otro,derecha
1,matutina,femenino,soltero,derecha
1,vespertina,masculino,otro,derecha
2,matutina,masculino,otro,izquierda
2,matutina,masculino,otro,izquierda
1,matutina,masculino,soltero,izquierda
1,vespertina,femenino,otro,derecha
1,vespertina,masculino,soltero,derecha
3,vespertina,femenino,soltero,derecha
1,matutina,femenino,otro,derecha
1,vespertina,femenino,otro,izquierda
1,vespertina,masculino,otro,izquierda
