calificacion,jornada,genero,estado.civil,preferencia.politica
3,matutina,femenino,soltero,derecha
1,vespertina,masculino,soltero,izquierda
1,vespertina,masculino,otro,izquierda
3,matutina,masculino,otro,izquierda
1,matutina,femenino,otro,derecha
3,matutina,masculino,soltero,derecha
3,matutina,masculino,otro,derecha
2,vespertina,femenino,otro,izquierda
3,matutina,femenino,soltero,derecha
3,vespertina,femenino,soltero,izquierda
2,matutina,femenino,otro,derecha
3,vespertina,masculino,soltero,derecha
3,vespertina,femenino,soltero,izquierda
3,matutina,femenino,soltero,izquierda
1,vespertina,masculino,soltero,izquierda
