calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,femenino,otro,izquierda
2,vespertina,masculino,otro,derecha
3,vespertina,masculino,otro,izquierda
1,matutina,femenino,otro,izquierda
2,matutina,femenino,otro,izquierda
3,matutina,femenino,soltero,izquierda
2,matutina,femenino,soltero,izquierda
1,vespertina,femenino,otro,izquierda
1,vespertina,femenino,otro,derecha
2,matutina,masculino,otro,derecha
1,vespertina,masculino,otro,derecha
3,matutina,femenino,soltero,izquierda
1,matutina,femenino,soltero,izquierda
2,vespertina,femenino,soltero,izquierda
2,vespertina,femenino,soltero,izquierda
