calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,masculino,otro,derecha
2,vespertina,femenino,soltero,izquierda
2,matutina,femenino,soltero,izquierda
3,vespertina,femenino,soltero,izquierda
1,vespertina,masculino,soltero,derecha
1,vespertina,masculino,otro,derecha
1,vespertina,masculino,soltero,izquierda
2,vespertina,femenino,soltero,izquierda
2,vespertina,femenino,otro,izquierda
2,vespertina,femenino,otro,derecha
1,matutina,masculino,soltero,izquierda
2,vespertina,masculino,otro,derecha
1,vespertina,masculino,otro,derecha
3,vespertina,masculino,soltero,derecha
1,matutina,femenino,otro,derecha
