calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,femenino,soltero,izquierda
2,vespertina,femenino,soltero,derecha
1,matutina,femenino,soltero,derecha
2,vespertina,masculino,soltero,izquierda
1,matutina,femenino,soltero,izquierda
2,matutina,masculino,otro,derecha
3,matutina,masculino,soltero,izquierda
2,vespertina,masculino,otro,izquierda
2,vespertina,femenino,soltero,derecha
2,vespertina,masculino,soltero,izquierda
2,vespertina,masculino,otro,izquierda
1,vespertina,femenino,otro,derecha
3,matutina,masculino,soltero,derecha
1,vespertina,masculino,otro,izquierda
2,matutina,masculino,otro,derecha
