calificacion,jornada,genero,estado.civil,preferencia.politica
3,vespertina,masculino,otro,izquierda
2,vespertina,femenino,soltero,izquierda
3,matutina,femenino,otro,derecha
3,vespertina,masculino,soltero,izquierda
3,matutina,femenino,soltero,izquierda
3,matutina,masculino,soltero,derecha
1,matutina,femenino,soltero,derecha
1,vespertina,femenino,soltero,izquierda
1,vespertina,masculino,soltero,derecha
1,matutina,femenino,soltero,derecha
1,matutina,masculino,soltero,izquierda
1,vespertina,masculino,soltero,izquierda
1,matutina,femenino,soltero,izquierda
1,vespertina,femenino,soltero,derecha
2,matutina,femenino,soltero,derecha
