calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,masculino,soltero,izquierda
1,matutina,femenino,soltero,derecha
2,matutina,femenino,otro,derecha
1,matutina,masculino,otro,derecha
3,vespertina,masculino,soltero,izquierda
3,matutina,masculino,soltero,derecha
1,vespertina,femenino,otro,derecha
1,matutina,femenino,soltero,izquierda
1,matutina,femenino,soltero,izquierda
2,vespertina,femenino,soltero,derecha
2,matutina,masculino,soltero,izquierda
1,matutina,masculino,otro,izquierda
3,matutina,femenino,soltero,derecha
2,matutina,masculino,soltero,izquierda
1,matutina,masculino,otro,derecha
