calificacion,jornada,genero,estado.civil,preferencia.politica
2,matutina,masculino,otro,derecha
3,vespertina,masculino,soltero,izquierda
2,vespertina,masculino,otro,izquierda
1,matutina,masculino,soltero,derecha
2,vespertina,masculino,soltero,izquierda
2,matutina,femenino,soltero,izquierda
2,vespertina,masculino,soltero,izquierda
3,matutina,femenino,soltero,derecha
2,matutina,masculino,otro,derecha
2,matutina,femenino,otro,izquierda
2,vespertina,femenino,otro,derecha
3,matutina,masculino,soltero,derecha
3,vespertina,masculino,soltero,izquierda
2,vespertina,femenino,otro,izquierda
2,vespertina,masculino,soltero,izquierda
