calificacion,jornada,genero,estado.civil,preferencia.politica
1,matutina,masculino,otro,derecha
3,vespertina,masculino,soltero,derecha
3,vespertina,masculino,soltero,izquierda
1,matutina,masculino,otro,derecha
2,matutina,femenino,soltero,izquierda
3,vespertina,femenino,soltero,izquierda
2,matutina,femenino,otro,izquierda
3,vespertina,femenino,otro,izquierda
1,matutina,femenino,soltero,derecha
3,matutina,femenino,soltero,izquierda
3,matutina,femenino,soltero,derecha
1,vespertina,femenino,soltero,derecha
2,matutina,femenino,soltero,izquierda
1,matutina,masculino,soltero,derecha
1,vespertina,masculino,soltero,izquierda
