calificacion,jornada,genero,estado.civil,preferencia.politica
1,vespertina,femenino,soltero,izquierda
2,vespertina,masculino,soltero,derecha
1,matutina,femenino,soltero,izquierda
2,matutina,masculino,soltero,izquierda
1,vespertina,masculino,soltero,derecha
3,matutina,femenino,otro,izquierda
3,vespertina,femenino,soltero,derecha
1,matutina,femenino,soltero,derecha
3,matutina,masculino,otro,derecha
1,matutina,masculino,soltero,izquierda
1,vespertina,masculino,otro,izquierda
1,matutina,masculino,soltero,izquierda
2,matutina,femenino,soltero,derecha
3,matutina,femenino,soltero,derecha
1,vespertina,masculino,otro,derecha
