calificacion,jornada,genero,estado.civil,preferencia.politica
2,matutina,masculino,soltero,izquierda
3,matutina,masculino,soltero,izquierda
3,vespertina,masculino,soltero,derecha
1,matutina,masculino,otro,derecha
3,matutina,masculino,otro,derecha
1,vespertina,masculino,otro,derecha
2,vespertina,masculino,otro,derecha
3,matutina,femenino,otro,izquierda
2,vespertina,masculino,otro,derecha
1,matutina,masculino,otro,izquierda
2,matutina,masculino,otro,izquierda
1,matutina,femenino,soltero,izquierda
3,matutina,femenino,otro,derecha
2,matutina,masculino,soltero,izquierda
2,vespertina,masculino,soltero,izquierda
