calificacion,jornada,genero,estado.civil,preferencia.politica
2,vespertina,femenino,soltero,derecha
2,matutina,femenino,otro,izquierda
2,vespertina,femenino,otro,derecha
3,matutina,masculino,soltero,izquierda
1,vespertina,masculino,soltero,izquierda
3,vespertina,masculino,soltero,izquierda
2,matutina,femenino,otro,derecha
3,vespertina,femenino,soltero,izquierda
1,matutina,masculino,otro,izquierda
2,matutina,masculino,soltero,izquierda
1,matutina,masculino,soltero,derecha
3,matutina,femenino,otro,izquierda
1,vespertina,femenino,otro,derecha
3,matutina,masculino,soltero,izquierda
2,matutina,femenino,otro,derecha
