calificacion,jornada,genero,estado.civil,preferencia.politica
2,matutina,femenino,soltero,derecha
1,matutina,femenino,otro,izquierda
2,vespertina,masculino,soltero,derecha
1,matutina,femenino,otro,izquierda
1,matutina,femenino,otro,derecha
3,matutina,femenino,soltero,derecha
3,matutina,masculino,otro,izquierda
1,vespertina,masculino,soltero,izquierda
2,vespertina,masculino,soltero,derecha
3,vespertina,masculino,soltero,izquierda
2,vespertina,femenino,otro,derecha
3,matutina,femenino,soltero,derecha
1,matutina,femenino,otro,izquierda
2,vespertina,femenino,soltero,izquierda
1,vespertina,femenino,otro,derecha
