calificacion,jornada,genero,estado.civil,preferencia.politica
2,matutina,masculino,otro,derecha
1,matutina,femenino,soltero,derecha
1,vespertina,masculino,soltero,derecha
1,matutina,femenino,soltero,izquierda
2,matutina,masculino,otro,derecha
1,vespertina,femenino,otro,derecha
1,matutina,masculino,soltero,izquierda
3,vespertina,femenino,otro,izquierda
3,matutina,femenino,soltero,derecha
2,matutina,femenino,otro,izquierda
3,vespertina,masculino,otro,derecha
1,matutina,femenino,otro,derecha
3,vespertina,femenino,otro,izquierda
2,vespertina,masculino,soltero,derecha
3,vespertina,femenino,otro,izquierda
