calificacion,jornada,genero,estado.civil,preferencia.politica
2,matutina,masculino,otro,derecha
3,vespertina,femenino,otro,izquierda
3,matutina,femenino,otro,derecha
1,matutina,femenino,otro,derecha
1,vespertina,masculino,otro,izquierda
3,matutina,masculino,otro,derecha
3,vespertina,masculino,soltero,izquierda
2,vespertina,femenino,otro,izquierda
3,matutina,femenino,otro,derecha
1,matutina,femenino,soltero,derecha
1,vespertina,femenino,soltero,izquierda
2,vespertina,femenino,soltero,derecha
1,vespertina,masculino,otro,derecha
3,matutina,femenino,soltero,derecha
2,vespertina,femenino,soltero,derecha
