calificacion,jornada,genero,estado.civil,preferencia.politica
1,matutina,femenino,soltero,izquierda
3,vespertina,femenino,soltero,izquierda
1,matutina,femenino,soltero,izquierda
1,vespertina,masculino,otro,izquierda
2,matutina,femenino,otro,izquierda
3,matutina,masculino,soltero,izquierda
2,vespertina,femenino,otro,izquierda
3,vespertina,femenino,otro,derecha
3,matutina,femenino,otro,derecha
1,vespertina,masculino,soltero,izquierda
3,matutina,masculino,otro,derecha
2,vespertina,femenino,soltero,derecha
3,matutina,femenino,otro,derecha
1,matutina,femenino,otro,izquierda
3,matutina,masculino,soltero,izquierda
